Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,Variable
"[89624.50, 174502.67)",2423,0.37641758583190926,1338,1085,0.44779199339661574,0.13468135574677317,0.006800442240967117,VALUE
"[174502.67, inf)",574,0.08917197452229299,363,211,0.367595818815331,0.4676300818219439,0.01898892712462071,VALUE
Missing,123,0.01910828025477707,6,117,0.9512195121951219,-3.045329084536541,0.10953852490104461,VALUE
['HomeImp'],1723,0.26767127543886904,1003,720,0.4178757980266976,0.25658495698499406,0.017442987393469087,REASON
['DebtCon'],4544,0.7059189063228212,2200,2344,0.5158450704225352,-0.13831613031733667,0.013518640726089617,REASON
Missing,170,0.026409818238309773,136,34,0.2,1.31137974215305,0.03902133069013727,REASON
['Office'],690,0.10719279167313966,586,104,0.15072463768115943,1.6540142714687993,0.23475689529583665,JOB
['ProfExe'],1018,0.1581482056858785,746,272,0.26719056974459726,0.934008914940923,0.12667178902102266,JOB
['Self' 'Sales' 'Other'],2472,0.3840298275594221,1435,1037,0.41949838187702265,0.24991830099735354,0.023751562251137417,JOB
['Mgr'],2055,0.3192480969395681,393,1662,0.8087591240875912,-1.5168819825129727,0.6352326088492569,JOB
Missing,202,0.03138107814199161,179,23,0.11386138613861387,1.9769769709447647,0.09130612848254867,JOB
"(-inf, 0.10)",329,0.05111076588472891,261,68,0.2066869300911854,1.270098083179746,0.0714017021211634,YOJ
"[0.10, 1.00)",368,0.05716948889234115,231,137,0.37228260869565216,0.44752216572682824,0.011170292514974863,YOJ
"[1.00, 4.00)",1090,0.16933354046916266,565,525,0.481651376146789,-0.0014871504120232693,3.745111834723122e-07,YOJ
"[4.00, 6.00)",632,0.09818238309771633,182,450,0.7120253164556962,-0.9801555146544109,0.08894682497951999,YOJ
"[6.00, 12.98)",2110,0.3277924498990213,982,1128,0.5345971563981042,-0.21352474267037888,0.014947979998226151,YOJ
"[12.98, 18.99)",739,0.11480503340065248,380,359,0.4857916102841678,-0.018065754734688036,3.7480746484475884e-05,YOJ
"[18.99, inf)",709,0.11014447724095075,433,276,0.38928067700987307,0.37542224331849927,0.015238317323636168,YOJ
Missing,460,0.07146186111542645,305,155,0.33695652173913043,0.6019720407213244,0.02486893086227793,YOJ
"(-inf, 0.00)",4065,0.6315053596395837,2640,1425,0.3505535055350554,0.5416924844707703,0.17912779603362325,DEROG
"[0.00, 1.00)",938,0.14572005592667392,187,751,0.8006396588486141,-1.465211653876389,0.2731296195439973,DEROG
"[1.00, 2.00)",441,0.06851017554761535,51,390,0.8843537414965986,-2.109235725366207,0.23331023133423842,DEROG
"[2.00, inf)",367,0.057014137020351095,22,345,0.9400544959128065,-2.8274165826398856,0.2962379640391055,DEROG
Missing,626,0.09725027186577598,439,187,0.2987220447284345,0.7784761772537442,0.05536130719129911,DEROG
"(-inf, 0.00)",3527,0.5479260525089328,2527,1000,0.28352707683583783,0.8521182094392165,0.3698401977969866,DELINQ
"[0.00, 1.00)",1087,0.16886748485319247,300,787,0.7240110395584176,-1.0393603927280426,0.1706500900199704,DELINQ
"[1.00, 3.00)",873,0.13562218424732017,136,737,0.8442153493699885,-1.7648476254201249,0.3479655796983791,DELINQ
"[3.00, inf)",460,0.07146186111542645,27,433,0.941304347826087,-2.849815480965003,0.3752675173693244,DELINQ
Missing,490,0.07612241727512817,349,141,0.28775510204081634,0.8313974128574183,0.04905999455545393,DELINQ
"(-inf, 103.04)",1308,0.20320024856299518,511,797,0.6093272171253823,-0.5193997075533514,0.054133353065296305,CLAGE
"[103.04, 118.77)",644,0.10004660556159702,245,399,0.6195652173913043,-0.5626178253119769,0.031178877539356366,CLAGE
"[118.77, 124.75)",338,0.05250893273263943,103,235,0.6952662721893491,-0.8997711448813636,0.04049674801000612,CLAGE
"[124.75, 147.91)",771,0.11977629330433431,301,470,0.6095979247730221,-0.5205370489220694,0.03204635882129552,CLAGE
"[147.91, 171.55)",553,0.0859095852105018,262,291,0.5262206148282098,-0.1798933823772364,0.002782044319914403,CLAGE
"[171.55, 202.89)",847,0.13158303557557868,515,332,0.3919716646989374,0.36411731278040715,0.017139687274080283,CLAGE
"[202.89, 228.07)",512,0.07954015845890942,317,195,0.380859375,0.41098759634669324,0.013149453470207616,CLAGE
"[228.07, 276.47)",562,0.0873077520584123,426,136,0.24199288256227758,1.066869841566478,0.08927974255898338,CLAGE
"[276.47, inf)",594,0.09227901196209415,491,103,0.1734006734006734,1.4868005205980441,0.16920200085115522,CLAGE
Missing,308,0.0478483765729377,168,140,0.45454545454545453,0.10740693782711416,0.0005503552932824104,CLAGE
"(-inf, 0.00)",2089,0.32453006058723005,1481,608,0.2910483484921015,0.8153833133347912,0.2016364029577616,NINQ
"[0.00, 1.00)",1795,0.2788566102221532,773,1022,0.5693593314763231,-0.35415234114306837,0.034842857605981895,NINQ
"[1.00, 2.00)",1047,0.16265340997359018,429,618,0.5902578796561605,-0.43994615749651456,0.031237037916905703,NINQ
"[2.00, 3.00)",496,0.07705452850706851,196,300,0.6048387096774194,-0.5005824343925245,0.019090441572925998,NINQ
"[3.00, inf)",569,0.08839521516234271,159,410,0.7205623901581723,-1.022167576444963,0.08660253437493672,NINQ
Missing,441,0.06851017554761535,301,140,0.31746031746031744,0.690553223172731,0.03104472137177648,NINQ
"(-inf, 8.95)",440,0.06835482367562529,203,237,0.5386363636363637,-0.22976878106018475,0.0036083630759709048,CLNO
"[8.95, 14.99)",1004,0.1559732794780177,571,433,0.4312749003984064,0.20173686268667987,0.006302600973888327,CLNO
"[14.99, 16.00)",449,0.06975299052353581,310,139,0.30957683741648107,0.7271837453816595,0.03488628514540358,CLNO
"[16.00, 19.00)",813,0.12630107192791673,424,389,0.4784747847478475,0.011239492646670943,1.5951609656653866e-05,CLNO
"[19.00, 24.01)",1369,0.21267671275438868,685,684,0.4996347699050402,-0.07345369832716575,0.0011485486186999612,CLNO
"[24.01, inf)",2149,0.3338511729066335,1027,1122,0.5221033038622616,-0.16338549512092407,0.008919544623145889,CLNO
Missing,213,0.03308994873388224,119,94,0.4413145539906103,0.16091409187468503,0.0008524032622622775,CLNO
"(-inf, 24.24)",401,0.06229610066801305,339,62,0.1546134663341646,1.6239511033685181,0.13237554899389706,DEBTINC
"[24.24, 30.74)",790,0.12272797887214541,656,134,0.16962025316455695,1.5134063700263372,0.2318724643006193,DEBTINC
"[30.74, 34.60)",685,0.10641603231318937,525,160,0.23357664233576642,1.1133098283909562,0.11755046707880845,DEBTINC
"[34.60, 37.95)",803,0.12474755320801616,603,200,0.24906600249066002,1.0286852112123082,0.11936370728575492,DEBTINC
"[37.95, 40.88)",766,0.11899953394438403,571,195,0.2545691906005222,0.9994750321254229,0.10800871859541496,DEBTINC
"[40.88, 43.25)",423,0.06571384185179431,267,156,0.36879432624113473,0.46247803218387196,0.013693508961170857,DEBTINC
"[43.25, inf)",323,0.05017865465278857,47,276,0.8544891640866873,-1.8451678829739315,0.13841280476547066,DEBTINC
Missing,2246,0.3489203044896691,331,1915,0.852626892252894,-1.830269145204524,0.9499266336810399,DEBTINC
